Open_time,Open,High,Low,Close,Volume,Spread,MA7,MA21,Lag_1,Lag_2,Lag_3,Target_3d,Daily_Return,Volatility_7d,RSI
2023-08-08,29211.06,30244.0,29146.45,29770.42,45700.53392,1097.5499999999993,29233.667142857146,29428.136666666665,29211.06,29088.42,29072.13,29426.03,1.9148911405474367,1.0800020397418073,61.64963535055821
2023-08-09,29770.41,30160.0,29376.67,29581.99,38003.88725,783.3300000000017,29290.235714285714,29412.554761904765,29770.42,29211.06,29088.42,29430.17,-0.6329437072100319,0.8242502493245949,54.81328964273314
2023-08-10,29581.99,29738.0,29320.2,29455.75,23463.45373,417.7999999999993,29327.679999999997,29396.161904761906,29581.99,29770.42,29211.06,29303.84,-0.42674613844437825,0.8568954023256654,54.88081321048024
2023-08-11,29455.76,29564.52,29252.45,29426.03,20637.0443,312.0699999999997,29372.257142857143,29373.51,29455.75,29581.99,29770.42,29430.93,-0.10089710837443144,0.8457863987869659,52.40628830727541
2023-08-12,29426.02,29481.35,29381.56,29430.17,8971.48068,99.78999999999724,29423.405714285713,29356.184761904762,29426.03,29455.75,29581.99,29200.0,0.01406917616817438,0.8385520881881078,51.686874817166014
2023-08-13,29430.18,29474.65,29272.32,29303.84,11101.70947,202.33000000000175,29454.18,29319.04619047619,29430.17,29426.03,29455.75,28730.51,-0.4292533818187172,0.8697947564123504,50.48510565707827
2023-08-14,29303.85,29695.32,29102.45,29430.93,31443.11532,592.869999999999,29485.59,29331.1619047619,29303.84,29430.17,29426.03,26623.41,0.4336974266853755,0.8705311799510962,54.09970698691759
2023-08-15,29430.92,29499.26,29059.6,29200.0,27503.87691,439.65999999999985,29404.101428571426,29329.78523809524,29430.93,29303.84,29430.17,26054.0,-0.7846507059070196,0.41849192727346335,38.396268386315526
2023-08-16,29200.01,29259.85,28723.08,28730.51,32996.69854,536.7699999999968,29282.46142857143,29300.192380952376,29200.0,29430.93,29303.84,26100.01,-1.6078424657534285,0.6535674666398682,39.30650765330076
2023-08-17,28730.51,28783.48,25166.0,26623.41,100271.54033,3617.4799999999996,28877.84142857143,29176.41285714286,28730.51,29200.0,29430.93,26189.99,-7.334015302895769,2.696492622227803,19.613786776441273
2023-08-18,26623.41,26832.6,25619.0,26054.0,69790.65711,1213.5999999999985,28396.12285714286,29021.168095238096,26623.41,28730.51,29200.0,26126.92,-2.13875683092436,2.642160829686234,17.57818873793974
2023-08-19,26054.0,26281.0,25801.09,26100.01,26160.75343,479.90999999999985,27920.385714285712,28866.268571428573,26054.0,26623.41,28730.51,26056.0,0.1765947647194288,2.660307367778612,18.536875579588255
2023-08-20,26100.01,26299.0,25971.05,26189.99,19056.91209,327.9500000000007,27475.55,28719.073333333334,26100.01,26054.0,26623.41,26432.72,0.3447508257659715,2.73545610070822,19.788320300529335
2023-08-21,26190.0,26258.42,25812.0,26126.92,30267.24233,446.41999999999825,27003.54857142857,28571.20047619048,26189.99,26100.01,26054.0,26180.05,-0.24081719771562593,2.6645394519016694,17.448335549785696
2023-08-22,26126.92,26139.42,25300.0,26056.0,34247.06688,839.4199999999983,26554.405714285713,28397.391428571427,26126.92,26189.99,26100.01,26060.01,-0.2714441656345157,2.69931094202733,6.289216401575985
2023-08-23,26055.99,26819.27,25812.82,26432.72,44023.69978,1006.4500000000007,26226.149999999998,28266.282380952383,26056.0,26126.92,26189.99,26017.37,1.4458090267116974,2.931165009232378,14.512468589071844
2023-08-24,26432.71,26577.87,25864.0,26180.05,30205.22116,713.869999999999,26162.812857142857,28122.7780952381,26432.72,26056.0,26126.92,26101.77,-0.9558985984038038,1.1162424477391237,14.110413315861706
2023-08-25,26180.05,26314.05,25777.15,26060.01,27753.33772,536.8999999999978,26163.671428571426,27977.350476190477,26180.05,26432.72,26056.0,26120.0,-0.45851707693453925,0.763306777613604,13.836567180214473
2023-08-26,26060.0,26125.77,25985.92,26017.37,10022.22322,139.85000000000218,26151.865714285716,27831.885714285712,26060.01,26180.05,26432.72,27716.34,-0.16362234703670708,0.7614470015758407,13.634813741369072
2023-08-27,26017.38,26182.23,25966.11,26101.77,12099.64216,216.11999999999898,26139.262857142858,27689.664285714283,26017.37,26060.01,26180.05,27299.99,0.3243986613558514,0.7597574664860607,15.572619541680808
2023-08-28,26101.78,26253.99,25864.5,26120.0,22692.62655,389.4900000000016,26138.274285714288,27542.470952380947,26101.77,26017.37,26060.01,25940.78,0.06984200688304742,0.7555238443885945,13.548939693192565
2023-08-29,26120.0,28142.85,25922.0,27716.34,74251.99488,2220.8499999999985,26375.465714285714,27444.657619047623,26120.0,26101.77,26017.37,25805.05,6.1115620214395205,2.411749463431784,37.44155259335505
2023-08-30,27716.34,27768.57,27017.24,27299.99,35448.25848,751.3299999999981,26499.36142857143,27335.990952380955,27716.34,26120.0,26101.77,25869.51,-1.5021824670934159,2.5557853937077057,37.781437268956694
2023-08-31,27299.99,27587.51,25655.01,25940.78,51032.80401,1932.5,26465.179999999997,27168.61142857143,27299.99,27716.34,26120.0,25971.21,-4.978793032524931,3.28360260240762,43.3154001476697
2023-09-01,25940.77,26156.0,25333.75,25805.05,41032.15056,822.25,26428.757142857146,26996.18380952381,25940.78,27299.99,27716.34,25826.02,-0.5232302189833948,3.2849192281672495,47.3359002292228
2023-09-02,25805.04,25987.5,25752.47,25869.51,16250.77698,235.02999999999884,26407.634285714284,26826.62857142857,25805.05,25940.78,27299.99,25792.1,0.2497960670488908,3.2871865770929696,47.54304206567806
